"","Site","Knoll","Year","Date","year_month","survey_id","Observer","Species","Species_2015","Family","Abundance","Length","Confidence","year_observer","knoll_id","Status","a","b","coral_att","storm","Diameter","P_diameter","Max_depth","Min_depth","Hight","Projected_area","Mean_Complexity","Surface_Area","Stony_Coral","Soft_Coral","coral_cover","Algae","DD_X","DD_Y","ITM_X","ITM_Y"
"67","Princess","17","2016",2016-09-21,"2016 b","Princess_17_2016-09-21","Noa Moshkowitz","Grammistes sexlineatus","Grammistes sexlineatus","Serranidae",3,8,NA,"Noa Moshkowitz_2016","Princess_17","T",0.02054,3,"Princess_17_2016","Before",4.3,4.2,4.4,1.7,2.7,14.181615,2.59511705,36.80295088,36.80045223,1.526286037,38.326738267,0.565291125,34.906218,29.493566,190529.8063,378469.0888
"68","Princess","18","2016",2016-09-21,"2016 b","Princess_18_2016-09-21","Hezi Buba","Ctenochaetus striatus","Acanthuridae","Acanthuridae",1,32,NA,"Hezi Buba_2016","Princess_18","T",0.0137,3.083,"Princess_18_2016","Before",2.5,2.1,3.2,2.1,1.1,4.1225625,2.463654996,10.1565717,33.40611354,0,33.40611354,0.873362445,34.906902,29.494654,190596.4935,378589.6163
"69","Princess","19","2016",2016-09-21,"2016 b","Princess_19_2016-09-21","Hezi Buba","Abudefduf spp.","Abudefduf spp.","Pomacentridae",1,32,NA,"Hezi Buba_2016","Princess_19","T",0.0152025,3.169,"Princess_19_2016","Before",2.5,2.2,3.8,2.7,1.1,4.318875,2.191208483,9.463555537,60.04842615,0,60.04842615,0.484261501,34.906993,29.494684,190605.3696,378592.8865
"70","Princess","21","2016",2016-09-21,"2016 b","Princess_21_2016-09-21","Lior Avidan","Lethrinus spp.","Lethrinidae","Lethrinidae",5,64,NA,"Lior Avidan_2016","Princess_21","T",0.0548016666666667,2.72845,"Princess_21_2016","Before",2.4,1.6,7.2,5.8,1.4,3.01536,2.614414944,7.883402246,44.56824513,0,44.56824513,1.114206128,34.90708,29.494438,190613.6617,378565.5576
"71","Katza","19","2016",2016-09-22,"2016 b","Katza_19_2016-09-22","Liraz Levi","Cheilinus abudjubbe","Labridae","Labridae",1,64,NA,"Liraz Levi_2016","Katza_19","T",0.01380875,3.041,"Katza_19_2016","Before",3.8,3.3,7.9,5.6,2.3,9.847035,2.526339004,24.8769486,58.80733945,0,58.80733945,0.091743119,34.934539,29.523412,193283.8994,381770.7204
"72","Katza","20","2016",2016-09-22,"2016 b","Katza_20_2016-09-22","Liraz Levi","Cheilinus abudjubbe","Labridae","Labridae",2,64,NA,"Liraz Levi_2016","Katza_20","T",0.01380875,3.041,"Katza_20_2016","Before",5.2,4.1,7.2,5.6,1.6,16.74153,1.909209882,31.96309452,29.11392405,8.261159227,37.375083277,0,34.934099,29.523338,193241.2321,381762.6136
"73","Katza","21","2016",2016-09-22,"2016 b","Katza_21_2016-09-22","Liraz Levi","Dascyllus trimaculatus","Dascyllus trimaculatus","Pomacentridae",3,16,NA,"Liraz Levi_2016","Katza_21","C",0.0716,2.635,"Katza_21_2016","Before",2,2,4.8,3.4,1.4,3.141,2.694352546,8.462961347,28.03738318,13.78504673,41.82242991,0.46728972,34.934049,29.523734,193236.5387,381806.5609
"74","Katza","22","2016",2016-09-22,"2016 b","Katza_22_2016-09-22","Noa Moshkowitz","Variola louti","Variola louti","Serranidae",1,64,NA,"Noa Moshkowitz_2016","Katza_22","T",0.007565,3.2096,"Katza_22_2016","Before",4.8,4.5,6.7,5.2,1.5,16.9614,1.791476423,30.38594821,23.64031907,2.973168963,26.613488033,0,34.93384,29.523145,193216.0585,381741.28
"75","Katza","23","2016",2016-09-22,"2016 b","Katza_23_2016-09-22","Noa Moshkowitz","Sufflamen albicaudatum","Balistidae","Balistidae",1,16,NA,"Noa Moshkowitz_2016","Katza_23","T",0.00885,3.277,"Katza_23_2016","Before",3,3,5.6,4.1,1.5,7.06725,2.197127958,15.52765256,33.33333333,5.231689088,38.565022418,0.149476831,34.933668,29.523094,193199.4182,381735.7333
"76","Katza","24","2016",2016-09-22,"2016 b","Katza_24_2016-09-22","Noa Moshkowitz","Parupeneus forsskali","Mullidae","Mullidae",3,4,NA,"Noa Moshkowitz_2016","Katza_24","T",0.007,3.1699,"Katza_24_2016","Before",6,3.3,4.2,3.1,1.1,15.54795,1.923983106,29.91399313,40.61358656,4.236669102,44.850255662,0.073046019,34.933391,29.523098,193172.5379,381736.1599
"77","Princess","20","2018",2018-09-03,"2018 b","Princess_20_2018-09-03","Renanel Pickholtz","Ecsenius nalolo","Blenniidae","Blenniidae",1,2,0,"Renanel Pickholtz_2018","Princess_20","C",0.0061,3,"Princess_20_2018","Before",1.8,1.8,4.9,4,0.9,2.54421,2.359804625,6.003838526,40.41916168,0.598802395,41.017964075,0,34.907057,29.494511,190611.4427,378573.7329
"78","Princess","14","2018",2018-09-03,"2018 b","Princess_14_2018-09-03","Shahar Malamud","Sufflamen albicaudatum","Balistidae","Balistidae",1,18,0,"Shahar Malamud_2018","Princess_14","T",0.00885,3.277,"Princess_14_2018","Before",3.6,2.7,4.3,3.2,1.1,7.63263,2.387912328,18.22605127,33.70629371,0,33.70629371,0,34.906936,29.494551,190599.7188,378578.1943
